0.00000000e+00     -8.21345072e+05     -6.85388892e+05     -3.45573292e+04      6.98763743e+00     -8.33753816e+00     -2.30352045e-01
3.60000000e+03     -7.95645281e+05     -7.14938336e+05     -3.53632706e+04      7.28843951e+00     -8.07698264e+00     -2.17342933e-01
7.20000000e+03     -7.68879955e+05     -7.43530150e+05     -3.61218468e+04      7.57953525e+00     -7.80558051e+00     -2.04040906e-01
1.08000000e+04     -7.41084745e+05     -7.71125931e+05     -3.68320349e+04      7.86053325e+00     -7.52369163e+00     -1.90463656e-01
1.44000000e+04     -7.12296688e+05     -7.97688594e+05     -3.74928765e+04      8.13105503e+00     -7.23168979e+00     -1.76629255e-01
1.80000000e+04     -6.82554159e+05     -8.23182426e+05     -3.81034790e+04      8.39073554e+00     -6.92996224e+00     -1.62556130e-01
2.16000000e+04     -6.51896823e+05     -8.47573131e+05     -3.86630167e+04      8.63922369e+00     -6.61890921e+00     -1.48263034e-01
2.52000000e+04     -6.20365584e+05     -8.70827876e+05     -3.91707318e+04      8.87618283e+00     -6.29894336e+00     -1.33769025e-01
2.88000000e+04     -5.88002528e+05     -8.92915337e+05     -3.96259358e+04      9.10129133e+00     -5.97048931e+00     -1.19093439e-01
3.24000000e+04     -5.54850875e+05     -9.13805736e+05     -4.00280101e+04      9.31424301e+00     -5.63398313e+00     -1.04255858e-01
3.60000000e+04     -5.20954916e+05     -9.33470889e+05     -4.03764073e+04      9.51474766e+00     -5.28987184e+00     -8.92760931e-02
3.96000000e+04     -4.86359958e+05     -9.51884236e+05     -4.06706514e+04      9.70253142e+00     -4.93861300e+00     -7.41741578e-02
4.32000000e+04     -4.51112264e+05     -9.69020886e+05     -4.09103389e+04      9.87733707e+00     -4.58067423e+00     -5.89702529e-02
4.68000000e+04     -4.15258993e+05     -9.84857647e+05     -4.10951393e+04      1.00389247e+01     -4.21653242e+00     -4.36847247e-02
5.04000000e+04     -3.78848136e+05     -9.99373059e+05     -4.12247955e+04      1.01870716e+01     -3.84667329e+00     -2.83380535e-02
5.40000000e+04     -3.41928453e+05     -1.01254743e+06     -4.12991246e+04      1.03215731e+01     -3.47159098e+00     -1.29508258e-02
5.76000000e+04     -3.04549408e+05     -1.02436285e+06     -4.13180176e+04      1.04422428e+01     -3.09178720e+00      2.45629337e-03
6.12000000e+04     -2.66761105e+05     -1.03480324e+06     -4.12814402e+04      1.05489124e+01     -2.70777056e+00      1.78625888e-02
6.48000000e+04     -2.28614219e+05     -1.04385436e+06     -4.11894328e+04      1.06414325e+01     -2.32005602e+00      3.32473227e-02
6.84000000e+04     -1.90159928e+05     -1.05150383e+06     -4.10421103e+04      1.07196727e+01     -1.92916415e+00      4.85897630e-02
7.20000000e+04     -1.51449846e+05     -1.05774116e+06     -4.08396621e+04      1.07835219e+01     -1.53562041e+00      6.38692120e-02
7.56000000e+04     -1.12535950e+05     -1.06255775e+06     -4.05823523e+04      1.08328885e+01     -1.13995448e+00      7.90650362e-02
7.92000000e+04     -7.34705144e+04     -1.06594692e+06     -4.02705189e+04      1.08677005e+01     -7.42699440e-01      9.41566959e-02
8.28000000e+04     -3.43060353e+04     -1.06790392e+06     -3.99045736e+04      1.08879057e+01     -3.44391035e-01      1.09123776e-01
8.64000000e+04      4.90483882e+03     -1.06842592e+06     -3.94850015e+04      1.08934718e+01      5.44330841e-02      1.23946017e-01
9.00000000e+04      4.41093798e+04     -1.06751203e+06     -3.90123602e+04      1.08843869e+01      4.53234121e-01      1.38603343e-01
9.36000000e+04      8.32548524e+04     -1.06516331e+06     -3.84872792e+04      1.08606591e+01      8.51472871e-01      1.53075891e-01
9.72000000e+04      1.22288587e+05     -1.06138275e+06     -3.79104591e+04      1.08223168e+01      1.24861045e+00      1.67344040e-01
1.00800000e+05      1.61158054e+05     -1.05617528e+06     -3.72826706e+04      1.07694087e+01      1.64410902e+00      1.81388436e-01
1.04400000e+05      1.99810933e+05     -1.04954777e+06     -3.66047537e+04      1.07020040e+01      2.03743246e+00      1.95190018e-01
1.08000000e+05      2.38195193e+05     -1.04150902e+06     -3.58776163e+04      1.06201918e+01      2.42804709e+00      2.08730040e-01
1.11600000e+05      2.76259156e+05     -1.03206972e+06     -3.51022334e+04      1.05240813e+01      2.81542242e+00      2.21990097e-01
1.15200000e+05      3.13951575e+05     -1.02124249e+06     -3.42796453e+04      1.04138015e+01      3.19903186e+00      2.34952150e-01
1.18800000e+05      3.51221701e+05     -1.00904184e+06     -3.34109567e+04      1.02895009e+01      3.57835358e+00      2.47598550e-01
1.22400000e+05      3.88019356e+05     -9.95484114e+05     -3.24973352e+04      1.01513470e+01      3.95287145e+00      2.59912077e-01
1.26000000e+05      4.24294999e+05     -9.80587539e+05     -3.15400093e+04      9.99952654e+00      4.32207612e+00      2.71875972e-01
1.29600000e+05      4.59999793e+05     -9.64372143e+05     -3.05402672e+04      9.83424488e+00      4.68546636e+00      2.83473991e-01
