0.00000000e+00      2.67188657e-03      8.64082045e-04      7.12783446e-05     -3.60767525e-08      1.10524195e-07      3.37869849e-09
3.60000000e+03      2.51295885e-03      1.25095217e-03      8.26090114e-05     -5.20554438e-08      1.04005985e-07      2.90443362e-09
7.20000000e+03      2.29845801e-03      1.61015717e-03      9.21127476e-05     -6.68927783e-08      9.51829128e-08      2.36561983e-09
1.08000000e+04      2.03310191e-03      1.93373566e-03      9.95783677e-05     -8.02553436e-08      8.42502355e-08      1.77425821e-09
1.44000000e+04      1.72275098e-03      2.21451835e-03      1.04840182e-04     -9.18430689e-08      7.14518946e-08      1.14357304e-09
1.80000000e+04      1.37427485e-03      2.44629328e-03      1.07781841e-04     -1.01396496e-07      5.70747443e-08      4.87696208e-10
2.16000000e+04      9.95394591e-04      2.62394824e-03      1.08338996e-04     -1.08703002e-07      4.14416489e-08     -1.78672453e-10
2.52000000e+04      5.94504732e-04      2.74358649e-03      1.06500712e-04     -1.13601781e-07      2.49036573e-08     -8.40618898e-10
2.88000000e+04      1.80479806e-04      2.80261314e-03      1.02309592e-04     -1.15987453e-07      7.83149858e-09     -1.48337179e-09
3.24000000e+04     -2.37529485e-04      2.79979000e-03      9.58606349e-05     -1.15812203e-07     -9.39334128e-09     -2.09265205e-09
3.60000000e+04     -6.50305133e-04      2.73525797e-03      8.72988553e-05     -1.13086438e-07     -2.63876908e-08     -2.65500504e-09
3.96000000e+04     -1.04877038e-03      2.61052693e-03      7.68157569e-05     -1.07877966e-07     -4.27756494e-08     -3.15810634e-09
4.32000000e+04     -1.42419275e-03      2.42843396e-03      6.46447644e-05     -1.00309774e-07     -5.81971830e-08     -3.59103331e-09
4.68000000e+04     -1.76837681e-03      2.19307156e-03      5.10557464e-05     -9.05565360e-08     -7.23161363e-08     -3.94449676e-09
5.04000000e+04     -2.07384217e-03      1.90968841e-03      3.63487850e-05     -7.88399837e-08     -8.48274810e-08     -4.21102805e-09
5.40000000e+04     -2.33398315e-03      1.58456562e-03      2.08473548e-05     -6.54233161e-08     -9.54636510e-08     -4.38511931e-09
5.76000000e+04     -2.54320675e-03      1.22487196e-03      4.89108392e-06     -5.06048412e-08     -1.03999860e-07     -4.46331571e-09
6.12000000e+04     -2.69704677e-03      8.38501924e-04     -1.11717321e-05     -3.47110313e-08     -1.10258333e-07     -4.44426037e-09
6.48000000e+04     -2.79225200e-03      4.33900517e-04     -2.69916946e-05     -1.80891832e-08     -1.14111423e-07     -4.32869350e-09
6.84000000e+04     -2.82684768e-03      1.98788943e-05     -4.22257847e-05     -1.09985432e-09     -1.15483607e-07     -4.11940857e-09
7.20000000e+04     -2.80016948e-03     -3.94575260e-04     -5.65446161e-05      1.58907631e-08     -1.14352397e-07     -3.82116858e-09
7.56000000e+04     -2.71287015e-03     -8.00488687e-04     -6.96393197e-05      3.25183898e-08     -1.10748186e-07     -3.44058628e-09
7.92000000e+04     -2.56689934e-03     -1.18909118e-03     -8.12279383e-05      4.84280028e-08     -1.04753116e-07     -2.98597212e-09
8.28000000e+04     -2.36545754e-03     -1.55199839e-03     -9.10612213e-05      6.32808694e-08     -9.64989993e-08     -2.46715374e-09
8.64000000e+04     -2.11292532e-03     -1.88138565e-03     -9.89277244e-05      7.67611780e-08     -8.61643851e-08     -1.89527095e-09
9.00000000e+04     -1.81476961e-03     -2.17014968e-03     -1.04658132e-04      8.85821864e-08     -7.39708214e-08     -1.28254959e-09
9.36000000e+04     -1.47742882e-03     -2.41205558e-03     -1.08128734e-04      9.84918154e-08     -6.01783887e-08     -6.42057913e-10
9.72000000e+04     -1.10817889e-03     -2.60186650e-03     -1.09263995e-04      1.06277621e-07     -4.50805680e-08      1.25513241e-11
1.00800000e+05     -7.14982663e-04     -2.73545373e-03     -1.08038184e-04      1.11771083e-07     -2.89985078e-08      6.67309599e-10
1.04400000e+05     -3.06325182e-04     -2.80988515e-03     -1.04476007e-04      1.14851143e-07     -1.22747613e-08      1.30820890e-09
1.08000000e+05      1.08962352e-04     -2.82349036e-03     -9.86522519e-05      1.15446929e-07      4.73343554e-09      1.92148192e-09
1.11600000e+05      5.21886848e-04     -2.77590085e-03     -9.06904160e-05      1.13539603e-07      2.16612586e-08      2.49388214e-09
1.15200000e+05      9.23482566e-04     -2.66806409e-03     -8.07603304e-05      1.09163269e-07      3.81436711e-08      3.01295962e-09
1.18800000e+05      1.30500183e-03     -2.50223076e-03     -6.90748111e-05      1.02404866e-07      5.38229670e-08      3.46732740e-09
1.22400000e+05      1.65810349e-03     -2.28191471e-03     -5.58853732e-05      9.34030227e-08      6.83563559e-08      3.84691344e-09
1.26000000e+05      1.97503529e-03     -2.01182574e-03     -4.14770733e-05      8.23458013e-08      8.14234462e-08      4.14319226e-09
1.29600000e+05      2.24880611e-03     -1.69777584e-03     -2.61625628e-05      6.94673494e-08      9.27334683e-08      4.34939059e-09
